market,MKT_CUSTOMER_ID_C,SSA_TRADE_N,billing_country,FINIS,MLI,MDSMT_MNTHYR_Y,LOC_BDN,gross_revenue,billed_revenue,gross_pieces
BEL,14470,GARAGE VERCAUTEREN RONNY,BEL, 0027401,0855,202508,244.00017468,273.344076856,273.344076856,0.0
BEL,25455,GARAGE IDEAL LAMBRECHT KOEN BVBA,BEL, 0027416,0870,202508,64.00017468,71.696951404,71.696951404,0.0
BEL,14466,GROUP MAES,BEL, 0027416,0870,202508,64.00017468,71.696951404,71.696951404,0.0
BEL,32653,GARAGE K. DOUMEN,BEL, 0027401,0855,202508,244.00017468,273.344076856,273.344076856,0.0
BEL,28053,VANDERGUCHT & ZOON,BEL, 0027416,0870,202508,64.00017468,71.696951404,71.696951404,0.0
BEL,46171,GARAGE MICARELLI STEPHANE,BEL, 0027416,0870,202508,64.00017468,71.696951404,71.696951404,0.0
BEL,32653,GARAGE K. DOUMEN,BEL, 0027416,0870,202508,64.00017468,71.696951404,71.696951404,0.0
BEL,28660,SA GARAGE BOMBOIR,BEL, 0027416,0870,202508,64.00017468,71.696951404,71.696951404,0.0
BEL,33555,GARAGE DEN BAES BV,BEL, 0027401,0855,202508,244.00017468,273.344076856,273.344076856,0.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 1683808,0358,202508,70.309620507,78.765182594,83.112379601,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 1835775,0084,202508,17.840080353,19.985560672,21.105871402,4.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 1806480,0457,202508,28.529630115,31.960655016,33.719885315,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2553626,0129,202508,907.039608717,1016.121832048,1072.236190714,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2544359,0334,202508,19.269837111,21.587262563,22.785848278,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2562972,0132,202508,176.950085157,198.230422335,209.208489051,5.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2207424,0187,202509,295.799356913,331.37272228,349.746456776,20.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2032318,0707,202509,420.48960343,471.05844324,497.071570796,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2120714,0558,202509,21.469667738,24.051648791,25.384916434,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2458760,0068,202509,43.950267953,49.235806624,51.958054824,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2465422,0068,202509,273.148981779,305.998372088,322.914925738,5.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2795819,0454,202508,199.009563736,222.942813694,221.935023256,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 1812510,0063,202509,12.759699893,14.294204467,15.101081139,2.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2607529,0097,202509,40.819721329,45.728774804,48.260830646,2.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2603284,0566,202509,360.019721329,403.316343809,425.587100516,1.0
BEL,16600,UNICARS BRUGGE BVBA,BEL, 2505993,0026,202501,11.249639804,12.602541832,12.535827557,3.0
BEL,16600,UNICARS BRUGGE BVBA,BEL, 2557967,0002,202501,257.139563923,288.063632919,286.764856622,2.0
BEL,27400,ETS SPIRLET SA,BEL, 2507122,0465,202501,24.100470656,26.998836843,28.49990804,2.0
BEL,27400,ETS SPIRLET SA,BEL, 2465641,0195,202501,267.490154644,299.6590044,316.205220738,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2544288,0435,202501,68.540005763,76.782750811,81.016955226,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2458340,0139,202501,449.929881856,504.03926315,531.877408619,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2484057,0465,202501,71.600230525,80.211003738,84.647503053,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2478661,0512,202501,24.030352512,26.920286164,28.409520957,1.0
BEL,36600,GROUPE DE DONCKER SPRL,BEL, 2532932,0054,202501,8.870425511,9.937198926,9.892005384,1.0
